cell_type,orientation_angle
Amnion,84.33489431518879
Amnion,68.59237483530426
Amnion,24.53651747343295
Amnion,27.33735476242589
Amnion,85.80343765030314
Amnion,72.97963617580426
Amnion,4.62037626104879
Amnion,24.640099683838287
Amnion,31.068663811695018
Amnion,39.60301182967066
Amnion,58.60025223260281
Amnion,54.66560261114441
Amnion,39.479107861165886
Amnion,69.6053048881817
Amnion,47.12390764676586
Amnion,85.50137028824557
Amnion,44.23090772485821
Intermediate,2.560416825590327
Intermediate,33.85995124045664
Intermediate,36.293141328410854
Intermediate,33.41557746808732
Intermediate,20.746765749216763
Intermediate,33.19673045378448
Intermediate,50.56816463618611
Intermediate,25.313372020264772
Intermediate,78.80788272519227
Intermediate,56.5385260894748
Intermediate,14.496334431280374
Intermediate,38.59240981558885
Intermediate,69.74439883701913
Intermediate,38.7047291573014
Intermediate,42.79469186375539
Intermediate,49.40283305143426
Intermediate,73.89521213689034
Intermediate,81.30931700029885
Intermediate,34.744734195702534
Intermediate,32.30534145197988
Intermediate,26.855415677786787
Intermediate,31.07702775116507
Intermediate,83.09946498259833
Intermediate,0.06643066221538163
Intermediate,68.07262407016474
Intermediate,39.57476404458349
Intermediate,88.86987794519715
Intermediate,71.80300862472083
Intermediate,89.61356687243452
Intermediate,73.53733730344291
Intermediate,41.889897106737436
Intermediate,75.71951478414759
Intermediate,10.292919546570433
Intermediate,7.930919165964873
Intermediate,49.10271784978453
Intermediate,65.52520463062652
Intermediate,0.7266515080900717
Intermediate,15.190479925819503
Epiblast,20.614979548259726
Epiblast,9.64399221017078
Epiblast,22.358134259108283
Epiblast,25.347352945391357
Epiblast,54.04111985382657
Epiblast,44.0269521840519
Epiblast,38.45903783272826
Epiblast,77.58537262442735
Epiblast,87.14788250464446
Epiblast,28.51468230933463
Epiblast,5.294385737530618
Epiblast,55.87614455303242
Epiblast,76.56453389089474
Epiblast,44.05080964552613
Epiblast,29.73992900002753
Epiblast,0.3122273883924169
Epiblast,73.19468281203714
Epiblast,5.127539233794636
Epiblast,17.053163085649516
Epiblast,37.38381142069235
Epiblast,11.41027776169625
Epiblast,18.1149525592607
Epiblast,9.430450365805854
Epiblast,11.833997932871398
Epiblast,64.7211656774732
Epiblast,23.63025499556248
Epiblast,5.010360578759332
Epiblast,12.804741128497668
Epiblast,36.81438511447976
Epiblast,55.5574540219781
Epiblast,41.65039442058148
Epiblast,86.41825306428655
Epiblast,2.105478703220335
Epiblast,22.3573467960083
Epiblast,49.78591345009718
Epiblast,9.813735216006677
Epiblast,21.616247417816254
Epiblast,46.625366957426806
Epiblast,28.403548048221708
Epiblast,83.55493826882956
Epiblast,7.86790582070762
Epiblast,47.767230770861964
