 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity,EpiblastAmnionIntermediate
1,260916_Day12-Vasc_S9-Sec2_Z33.tif,92.43,85.08,85.65,12.80,9.19,62.35,0.51,1.39,0.72,0.83,I
2,260916_Day12-Vasc_S9-Sec2_Z33.tif,137.86,124.91,85.46,18.04,9.73,178.28,0.62,1.85,0.54,0.91,A
3,260916_Day12-Vasc_S9-Sec2_Z33.tif,120.73,145.91,88.01,14.26,10.78,43.16,0.66,1.32,0.76,0.90,A
4,260916_Day12-Vasc_S9-Sec2_Z33.tif,35.68,102.61,86.30,7.64,5.94,119.97,0.49,1.29,0.78,0.81,A
5,260916_Day12-Vasc_S9-Sec2_Z33.tif,84.53,155.29,94.35,11.88,9.06,159.97,0.77,1.31,0.76,0.93,I
6,260916_Day12-Vasc_S9-Sec2_Z33.tif,43.94,92.90,94.78,8.36,6.69,146.79,0.63,1.25,0.80,0.86,A
7,260916_Day12-Vasc_S9-Sec2_Z33.tif,53.45,165.52,95.39,8.97,7.59,158.24,0.65,1.18,0.85,0.88,I
8,260916_Day12-Vasc_S9-Sec2_Z33.tif,68.49,70.08,98.80,10.92,7.98,66.50,0.68,1.37,0.73,0.86,I
9,260916_Day12-Vasc_S9-Sec2_Z33.tif,88.89,173.37,100.75,11.59,9.76,101.05,0.71,1.19,0.84,0.88,I
10,260916_Day12-Vasc_S9-Sec2_Z33.tif,91.59,63.74,107.77,11.12,10.48,47.02,0.77,1.06,0.94,0.93,I
11,260916_Day12-Vasc_S9-Sec2_Z33.tif,146.09,176.91,111.17,16.74,11.11,25.72,0.73,1.51,0.66,0.93,I
12,260916_Day12-Vasc_S9-Sec2_Z33.tif,65.75,56.17,120.95,10.01,8.37,17.99,0.66,1.20,0.84,0.89,I
13,260916_Day12-Vasc_S9-Sec2_Z33.tif,74.70,190.95,122.75,10.78,8.82,118.18,0.58,1.22,0.82,0.86,I
14,260916_Day12-Vasc_S9-Sec2_Z33.tif,35.76,181.09,131.57,7.28,6.26,93.45,0.81,1.16,0.86,0.92,I
15,260916_Day12-Vasc_S9-Sec2_Z33.tif,63.49,58.43,134.27,9.93,8.14,91.11,0.79,1.22,0.82,0.93,I
16,260916_Day12-Vasc_S9-Sec2_Z33.tif,63.81,186.10,136.80,9.95,8.17,98.12,0.77,1.22,0.82,0.91,I
17,260916_Day12-Vasc_S9-Sec2_Z33.tif,87.52,157.03,138.01,11.84,9.41,174.68,0.83,1.26,0.79,0.96,I
18,260916_Day12-Vasc_S9-Sec2_Z33.tif,124.88,129.92,139.78,16.49,9.64,27.16,0.74,1.71,0.58,0.93,E
19,260916_Day12-Vasc_S9-Sec2_Z33.tif,109.28,144.43,140.10,14.71,9.46,176.14,0.76,1.55,0.64,0.94,E
20,260916_Day12-Vasc_S9-Sec2_Z33.tif,92.15,178.21,141.30,14.02,8.37,125.90,0.72,1.68,0.60,0.91,I
21,260916_Day12-Vasc_S9-Sec2_Z33.tif,51.36,103.35,141.97,9.63,6.79,102.10,0.72,1.42,0.70,0.90,E
22,260916_Day12-Vasc_S9-Sec2_Z33.tif,89.21,170.06,144.08,12.23,9.29,129.17,0.58,1.32,0.76,0.90,I
23,260916_Day12-Vasc_S9-Sec2_Z33.tif,112.55,118.15,147.46,12.66,11.32,62.48,0.78,1.12,0.89,0.94,E
24,260916_Day12-Vasc_S9-Sec2_Z33.tif,119.64,65.64,147.17,15.30,9.96,159.68,0.65,1.54,0.65,0.89,E
25,260916_Day12-Vasc_S9-Sec2_Z33.tif,44.99,101.43,148.81,8.91,6.43,177.44,0.62,1.39,0.72,0.86,E
26,260916_Day12-Vasc_S9-Sec2_Z33.tif,82.28,60.20,153.55,13.41,7.81,128.70,0.54,1.72,0.58,0.88,E
27,260916_Day12-Vasc_S9-Sec2_Z33.tif,220.06,76.52,156.80,18.38,15.25,79.09,0.44,1.21,0.83,0.91,E
28,260916_Day12-Vasc_S9-Sec2_Z33.tif,43.58,93.76,152.11,9.64,5.76,85.73,0.65,1.67,0.60,0.86,E
