 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity,EpiblastAmnionIntermediate
1,260916_Day12-Vasc_S9-Sec2_Z26.tif,48.94,132.70,76.44,8.94,6.97,168.05,0.41,1.28,0.78,0.78,A
2,260916_Day12-Vasc_S9-Sec2_Z26.tif,124.12,117.10,81.74,15.19,10.40,126.76,0.51,1.46,0.68,0.84,A
3,260916_Day12-Vasc_S9-Sec2_Z26.tif,52.00,102.87,79.71,9.31,7.11,62.52,0.51,1.31,0.76,0.84,I
4,260916_Day12-Vasc_S9-Sec2_Z26.tif,159.35,144.67,84.91,14.97,13.55,116.10,0.50,1.10,0.91,0.83,I
5,260916_Day12-Vasc_S9-Sec2_Z26.tif,148.06,98.32,89.27,17.38,10.85,104.98,0.55,1.60,0.62,0.88,A
6,260916_Day12-Vasc_S9-Sec2_Z26.tif,99.17,109.15,87.39,12.68,9.96,141.64,0.71,1.27,0.79,0.91,A
7,260916_Day12-Vasc_S9-Sec2_Z26.tif,137.30,89.07,95.97,14.45,12.10,123.04,0.70,1.19,0.84,0.91,A
8,260916_Day12-Vasc_S9-Sec2_Z26.tif,121.54,69.61,95.08,14.88,10.40,29.16,0.79,1.43,0.70,0.94,I
9,260916_Day12-Vasc_S9-Sec2_Z26.tif,68.77,152.59,94.25,9.91,8.84,141.84,0.73,1.12,0.89,0.92,I
10,260916_Day12-Vasc_S9-Sec2_Z26.tif,117.10,161.82,97.61,13.07,11.41,101.01,0.76,1.15,0.87,0.92,I
11,260916_Day12-Vasc_S9-Sec2_Z26.tif,86.75,170.10,103.01,13.82,7.99,32.80,0.57,1.73,0.58,0.88,I
12,260916_Day12-Vasc_S9-Sec2_Z26.tif,108.80,60.56,105.71,13.28,10.43,60.49,0.63,1.27,0.79,0.88,I
13,260916_Day12-Vasc_S9-Sec2_Z26.tif,87.15,82.41,107.07,11.82,9.39,97.67,0.70,1.26,0.79,0.91,I
14,260916_Day12-Vasc_S9-Sec2_Z26.tif,127.71,180.74,110.84,15.07,10.79,75.76,0.68,1.40,0.72,0.89,I
15,260916_Day12-Vasc_S9-Sec2_Z26.tif,87.44,171.51,111.23,11.57,9.62,68.20,0.71,1.20,0.83,0.92,I
16,260916_Day12-Vasc_S9-Sec2_Z26.tif,54.42,68.15,116.61,11.03,6.28,161.57,0.58,1.76,0.57,0.87,I
17,260916_Day12-Vasc_S9-Sec2_Z26.tif,55.31,50.77,120.13,10.57,6.66,35.26,0.75,1.59,0.63,0.93,I
18,260916_Day12-Vasc_S9-Sec2_Z26.tif,123.92,186.54,124.28,13.98,11.28,77.36,0.62,1.24,0.81,0.89,I
19,260916_Day12-Vasc_S9-Sec2_Z26.tif,120.09,65.03,125.76,15.06,10.15,70.50,0.66,1.48,0.67,0.91,I
20,260916_Day12-Vasc_S9-Sec2_Z26.tif,38.09,45.07,127.32,8.82,5.50,59.75,0.72,1.60,0.62,0.89,I
21,260916_Day12-Vasc_S9-Sec2_Z26.tif,55.99,50.46,129.77,9.75,7.31,33.70,0.76,1.33,0.75,0.92,I
22,260916_Day12-Vasc_S9-Sec2_Z26.tif,58.73,181.54,133.48,12.49,5.99,132.61,0.57,2.09,0.48,0.82,I
23,260916_Day12-Vasc_S9-Sec2_Z26.tif,169.11,198.90,140.97,17.86,12.05,121.98,0.55,1.48,0.67,0.86,I
24,260916_Day12-Vasc_S9-Sec2_Z26.tif,66.76,153.10,139.26,11.57,7.35,176.54,0.70,1.57,0.64,0.93,E
25,260916_Day12-Vasc_S9-Sec2_Z26.tif,115.57,175.85,142.14,15.74,9.35,137.14,0.62,1.68,0.59,0.89,I
26,260916_Day12-Vasc_S9-Sec2_Z26.tif,107.79,126.43,145.27,14.95,9.18,110.63,0.56,1.63,0.61,0.87,E
27,260916_Day12-Vasc_S9-Sec2_Z26.tif,91.59,134.20,143.07,12.46,9.36,84.52,0.69,1.33,0.75,0.90,E
28,260916_Day12-Vasc_S9-Sec2_Z26.tif,80.62,162.74,143.58,13.18,7.79,102.21,0.68,1.69,0.59,0.89,I
29,260916_Day12-Vasc_S9-Sec2_Z26.tif,82.36,169.43,147.34,12.79,8.20,96.74,0.65,1.56,0.64,0.88,I
30,260916_Day12-Vasc_S9-Sec2_Z26.tif,181.93,56.89,150.23,21.26,10.89,94.11,0.56,1.95,0.51,0.88,I
31,260916_Day12-Vasc_S9-Sec2_Z26.tif,105.66,66.59,146.82,12.38,10.87,98.75,0.73,1.14,0.88,0.92,I
32,260916_Day12-Vasc_S9-Sec2_Z26.tif,131.25,142.69,147.46,14.42,11.59,59.78,0.72,1.24,0.80,0.93,E
33,260916_Day12-Vasc_S9-Sec2_Z26.tif,85.98,118.36,147.74,14.33,7.64,112.58,0.65,1.88,0.53,0.91,E
34,260916_Day12-Vasc_S9-Sec2_Z26.tif,89.01,98.05,147.57,10.70,10.59,169.59,0.67,1.01,0.99,0.88,E
35,260916_Day12-Vasc_S9-Sec2_Z26.tif,140.04,111.26,153.27,16.53,10.79,87.58,0.59,1.53,0.65,0.86,E
36,260916_Day12-Vasc_S9-Sec2_Z26.tif,59.90,151.84,146.68,11.08,6.88,53.47,0.67,1.61,0.62,0.96,I
37,260916_Day12-Vasc_S9-Sec2_Z26.tif,188.70,193.53,153.76,21.22,11.32,122.52,0.54,1.87,0.53,0.90,I
38,260916_Day12-Vasc_S9-Sec2_Z26.tif,107.63,157.51,152.04,12.38,11.07,27.14,0.75,1.12,0.89,0.94,E
39,260916_Day12-Vasc_S9-Sec2_Z26.tif,102.59,90.79,154.25,11.65,11.21,105.47,0.64,1.04,0.96,0.89,E
40,260916_Day12-Vasc_S9-Sec2_Z26.tif,228.85,76.95,156.21,19.88,14.66,44.35,0.67,1.36,0.74,0.91,I
41,260916_Day12-Vasc_S9-Sec2_Z26.tif,30.72,184.14,154.92,6.75,5.79,76.98,0.55,1.17,0.86,0.82,I
42,260916_Day12-Vasc_S9-Sec2_Z26.tif,65.18,102.39,162.34,9.97,8.32,95.56,0.44,1.20,0.83,0.83,E
43,260916_Day12-Vasc_S9-Sec2_Z26.tif,54.78,175.78,165.41,9.66,7.22,146.01,0.39,1.34,0.75,0.79,I
