 ,Label,Area,X,Y,Major,Minor,Angle,Circ.,AR,Round,Solidity,EpiblastAmnionIntermediate
1,260916_Day12-Vasc_S9-Sec2_Z13.tif,133.43,120.22,79.46,15.25,11.14,156.77,0.45,1.37,0.73,0.81,A
2,260916_Day12-Vasc_S9-Sec2_Z13.tif,55.51,105.38,79.72,9.70,7.29,154.33,0.70,1.33,0.75,0.90,A
3,260916_Day12-Vasc_S9-Sec2_Z13.tif,83.32,130.79,83.40,12.80,8.29,20.93,0.57,1.54,0.65,0.84,A
4,260916_Day12-Vasc_S9-Sec2_Z13.tif,70.22,94.96,90.10,11.32,7.90,38.83,0.69,1.43,0.70,0.90,A
5,260916_Day12-Vasc_S9-Sec2_Z13.tif,118.35,85.44,97.14,15.27,9.87,179.23,0.74,1.55,0.65,0.94,A
6,260916_Day12-Vasc_S9-Sec2_Z13.tif,60.31,73.89,96.73,9.62,7.98,172.76,0.76,1.21,0.83,0.92,I
7,260916_Day12-Vasc_S9-Sec2_Z13.tif,181.60,168.56,104.30,15.97,14.48,152.84,0.51,1.10,0.91,0.83,I
8,260916_Day12-Vasc_S9-Sec2_Z13.tif,68.37,75.82,107.48,13.05,6.67,51.18,0.63,1.96,0.51,0.88,I
9,260916_Day12-Vasc_S9-Sec2_Z13.tif,108.68,63.84,119.26,13.00,10.65,117.41,0.84,1.22,0.82,0.95,I
10,260916_Day12-Vasc_S9-Sec2_Z13.tif,95.78,55.38,125.06,12.23,9.98,171.65,0.77,1.23,0.82,0.93,I
11,260916_Day12-Vasc_S9-Sec2_Z13.tif,110.41,188.25,129.63,13.06,10.76,115.78,0.44,1.21,0.82,0.76,I
12,260916_Day12-Vasc_S9-Sec2_Z13.tif,139.15,51.82,134.52,15.45,11.46,164.82,0.60,1.35,0.74,0.87,I
13,260916_Day12-Vasc_S9-Sec2_Z13.tif,56.96,42.97,140.53,10.63,6.82,98.16,0.76,1.56,0.64,0.94,I
14,260916_Day12-Vasc_S9-Sec2_Z13.tif,43.70,49.63,142.66,8.08,6.89,156.85,0.78,1.17,0.85,0.94,I
15,260916_Day12-Vasc_S9-Sec2_Z13.tif,41.76,187.00,144.48,8.03,6.62,32.34,0.70,1.21,0.82,0.87,I
16,260916_Day12-Vasc_S9-Sec2_Z13.tif,89.97,58.94,147.48,11.42,10.03,15.15,0.77,1.14,0.88,0.90,I
17,260916_Day12-Vasc_S9-Sec2_Z13.tif,102.91,151.70,149.45,13.58,9.65,159.74,0.74,1.41,0.71,0.94,I
18,260916_Day12-Vasc_S9-Sec2_Z13.tif,47.85,169.57,148.87,10.26,5.94,178.03,0.51,1.73,0.58,0.84,I
19,260916_Day12-Vasc_S9-Sec2_Z13.tif,183.09,106.65,153.86,19.24,12.11,23.35,0.65,1.59,0.63,0.90,E
20,260916_Day12-Vasc_S9-Sec2_Z13.tif,187.53,139.41,153.53,16.32,14.63,152.22,0.78,1.12,0.90,0.95,E
21,260916_Day12-Vasc_S9-Sec2_Z13.tif,72.92,68.70,153.44,11.00,8.44,89.11,0.67,1.30,0.77,0.90,E
22,260916_Day12-Vasc_S9-Sec2_Z13.tif,107.11,189.15,153.38,12.21,11.17,34.06,0.78,1.09,0.92,0.93,I
23,260916_Day12-Vasc_S9-Sec2_Z13.tif,53.61,50.69,154.55,11.44,5.97,74.32,0.71,1.92,0.52,0.89,E
24,260916_Day12-Vasc_S9-Sec2_Z13.tif,111.50,126.71,155.45,12.68,11.20,98.45,0.80,1.13,0.88,0.95,E
25,260916_Day12-Vasc_S9-Sec2_Z13.tif,49.02,61.20,154.85,8.87,7.04,176.53,0.70,1.26,0.79,0.91,E
26,260916_Day12-Vasc_S9-Sec2_Z13.tif,117.99,178.55,160.75,18.68,8.04,83.19,0.61,2.32,0.43,0.91,I
27,260916_Day12-Vasc_S9-Sec2_Z13.tif,160.84,116.28,161.70,17.39,11.78,79.81,0.70,1.48,0.68,0.92,E
28,260916_Day12-Vasc_S9-Sec2_Z13.tif,197.89,79.68,161.43,20.46,12.32,14.32,0.63,1.66,0.60,0.89,E
29,260916_Day12-Vasc_S9-Sec2_Z13.tif,173.18,94.91,163.12,15.28,14.43,78.48,0.82,1.06,0.94,0.94,E
30,260916_Day12-Vasc_S9-Sec2_Z13.tif,59.50,185.64,162.58,10.59,7.16,92.73,0.70,1.48,0.68,0.91,I
31,260916_Day12-Vasc_S9-Sec2_Z13.tif,72.32,58.47,161.48,10.82,8.51,10.44,0.73,1.27,0.79,0.91,E
32,260916_Day12-Vasc_S9-Sec2_Z13.tif,151.33,150.84,164.72,14.42,13.37,124.95,0.80,1.08,0.93,0.95,E
33,260916_Day12-Vasc_S9-Sec2_Z13.tif,31.52,165.76,161.47,6.64,6.04,3.68,0.55,1.10,0.91,0.81,E
34,260916_Day12-Vasc_S9-Sec2_Z13.tif,53.82,168.43,166.96,11.65,5.88,172.21,0.63,1.98,0.51,0.89,E
